date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
299,2016-11-24,Carolina Hurricanes,Montreal Canadiens,1,2,
300,2016-11-24,Boston Bruins,Ottawa Senators,1,3,
301,2016-11-25,Chicago Blackhawks,Anaheim Ducks,3,2,
302,2016-11-25,Edmonton Oilers,Arizona Coyotes,2,3,SO
303,2016-11-25,Calgary Flames,Boston Bruins,2,1,
304,2016-11-25,Vancouver Canucks,Dallas Stars,1,2,
305,2016-11-25,Pittsburgh Penguins,Minnesota Wild,2,6,
306,2016-11-25,Detroit Red Wings,New Jersey Devils,5,4,OT
307,2016-11-25,Winnipeg Jets,Nashville Predators,1,5,
308,2016-11-25,New York Rangers,Philadelphia Flyers,3,2,
309,2016-11-25,New York Islanders,San Jose Sharks,2,3,
310,2016-11-25,Columbus Blue Jackets,Tampa Bay Lightning,5,3,
311,2016-11-25,Buffalo Sabres,Washington Capitals,1,3,
312,2016-11-26,Vancouver Canucks,Colorado Avalanche,3,2,SO
313,2016-11-26,Montreal Canadiens,Detroit Red Wings,2,1,OT
314,2016-11-26,Columbus Blue Jackets,Florida Panthers,1,2,SO
315,2016-11-26,Chicago Blackhawks,Los Angeles Kings,1,2,OT
316,2016-11-26,Carolina Hurricanes,Ottawa Senators,1,2,
317,2016-11-26,New Jersey Devils,Pittsburgh Penguins,3,4,SO
318,2016-11-26,Anaheim Ducks,San Jose Sharks,3,2,
319,2016-11-26,Minnesota Wild,St. Louis Blues,3,4,SO
320,2016-11-26,Washington Capitals,Toronto Maple Leafs,2,4,
321,2016-11-27,Tampa Bay Lightning,Boston Bruins,1,4,
322,2016-11-27,Florida Panthers,Carolina Hurricanes,2,3,
323,2016-11-27,Arizona Coyotes,Edmonton Oilers,2,1,
324,2016-11-27,Ottawa Senators,New York Rangers,2,0,
325,2016-11-27,Calgary Flames,Philadelphia Flyers,3,5,
326,2016-11-27,Nashville Predators,Winnipeg Jets,0,3,
327,2016-11-28,Calgary Flames,New York Islanders,1,2,OT
328,2016-11-28,Dallas Stars,St. Louis Blues,3,4,OT
329,2016-11-29,Montreal Canadiens,Anaheim Ducks,1,2,
330,2016-11-29,Tampa Bay Lightning,Columbus Blue Jackets,1,5,
331,2016-11-29,Florida Panthers,Chicago Blackhawks,1,2,SO
332,2016-11-29,Nashville Predators,Colorado Avalanche,5,3,
333,2016-11-29,Dallas Stars,Detroit Red Wings,1,3,
334,2016-11-29,Toronto Maple Leafs,Edmonton Oilers,4,2,
335,2016-11-29,Carolina Hurricanes,New York Rangers,2,3,
336,2016-11-29,Buffalo Sabres,Ottawa Senators,5,4,
337,2016-11-29,Boston Bruins,Philadelphia Flyers,2,3,SO
338,2016-11-29,Arizona Coyotes,San Jose Sharks,1,2,OT
339,2016-11-29,Minnesota Wild,Vancouver Canucks,4,5,
340,2016-11-29,New Jersey Devils,Winnipeg Jets,2,3,
341,2016-11-30,Toronto Maple Leafs,Calgary Flames,0,3,
342,2016-11-30,San Jose Sharks,Los Angeles Kings,4,1,
343,2016-11-30,Pittsburgh Penguins,New York Islanders,3,5,
344,2016-12-01,Los Angeles Kings,Arizona Coyotes,4,3,
345,2016-12-01,Carolina Hurricanes,Boston Bruins,1,2,SO
346,2016-12-01,New York Rangers,Buffalo Sabres,3,4,
347,2016-12-01,New Jersey Devils,Chicago Blackhawks,3,4,OT
348,2016-12-01,Columbus Blue Jackets,Colorado Avalanche,3,2,
349,2016-12-01,Florida Panthers,Detroit Red Wings,2,1,OT
350,2016-12-01,Philadelphia Flyers,Ottawa Senators,3,2,OT
351,2016-12-01,Dallas Stars,Pittsburgh Penguins,2,6,
352,2016-12-01,Tampa Bay Lightning,St. Louis Blues,4,5,
353,2016-12-01,Anaheim Ducks,Vancouver Canucks,3,1,
354,2016-12-01,Edmonton Oilers,Winnipeg Jets,6,3,
355,2016-12-01,New York Islanders,Washington Capitals,3,0,
356,2016-12-02,Minnesota Wild,Calgary Flames,2,3,SO
357,2016-12-02,Montreal Canadiens,San Jose Sharks,1,2,
358,2016-12-03,Columbus Blue Jackets,Arizona Coyotes,3,2,SO
359,2016-12-03,Boston Bruins,Buffalo Sabres,2,1,
360,2016-12-03,Dallas Stars,Colorado Avalanche,3,0,
361,2016-12-03,Anaheim Ducks,Edmonton Oilers,2,3,OT
362,2016-12-03,New Jersey Devils,Nashville Predators,5,4,OT
363,2016-12-03,Carolina Hurricanes,New York Rangers,2,4,
364,2016-12-03,Florida Panthers,Ottawa Senators,0,2,
